blot_label,source_plate_id,source_plate_row,source_plate_column
I7,Anti-Yo_1,I,7
I8,Anti-Yo_1,I,8
I9,Anti-Yo_1,I,9
I10,Anti-Yo_1,I,10
I11,Anti-Yo_1,I,11
I12,Anti-Yo_1,I,12
I13,Anti-Yo_1,I,13
I14,Anti-Yo_1,I,14
I15,Anti-Yo_1,I,15
I16,Anti-Yo_1,I,16
I17,Anti-Yo_1,I,17
I18,Anti-Yo_1,I,18
I19,Anti-Yo_1,I,19
I20,Anti-Yo_1,I,20
I21,Anti-Yo_1,I,21
I22,Anti-Yo_1,I,22
I23,Anti-Yo_1,I,23
I24,Anti-Yo_1,I,24
J1,Anti-Yo_1,J,1
J2,Anti-Yo_1,J,2
J3,Anti-Yo_1,J,3
J4,Anti-Yo_1,J,4
J5,Anti-Yo_1,J,5
J6,Anti-Yo_1,J,6
J7,Anti-Yo_1,J,7
J8,Anti-Yo_1,J,8
J9,Anti-Yo_1,J,9
J10,Anti-Yo_1,J,10
J11,Anti-Yo_1,J,11
J12,Anti-Yo_1,J,12
J13,Anti-Yo_1,J,13
J14,Anti-Yo_1,J,14
J15,Anti-Yo_1,J,15
J16,Anti-Yo_1,J,16
J17,Anti-Yo_1,J,17
J18,Anti-Yo_1,J,18
J19,Anti-Yo_1,J,19
J20,Anti-Yo_1,J,20
J21,Anti-Yo_1,J,21
J22,Anti-Yo_1,J,22
J23,Anti-Yo_1,J,23
J24,Anti-Yo_1,J,24
K1,Anti-Yo_1,K,1
K2,Anti-Yo_1,K,2
K3,Anti-Yo_1,K,3
K4,Anti-Yo_1,K,4
K5,Anti-Yo_1,K,5
K6,Anti-Yo_1,K,6
K7,Anti-Yo_1,K,7
K8,Anti-Yo_1,K,8
K9,Anti-Yo_1,K,9
K10,Anti-Yo_1,K,10
K11,Anti-Yo_1,K,11
K12,Anti-Yo_1,K,12
K13,Anti-Yo_1,K,13
K14,Anti-Yo_1,K,14
K15,Anti-Yo_1,K,15
K16,Anti-Yo_1,K,16
K17,Anti-Yo_1,K,17
K18,Anti-Yo_1,K,18
K19,Anti-Yo_1,K,19
K20,Anti-Yo_1,K,20
K21,Anti-Yo_1,K,21
K22,Anti-Yo_1,K,22
K23,Anti-Yo_1,K,23
K24,Anti-Yo_1,K,24
L1,Anti-Yo_1,L,1
L2,Anti-Yo_1,L,2
